"Rank","Player","Team","Position","Points","Games","Avg"
"1","Matt Schaub","ATL","QB","37.1","1","37.1"
"2","Andre Johnson","FA","WR","33.3","1","33.3"
"3","Robert Griffin","BAL","QB","32.4","1","32.4"
"4","Chad Henne","KC","QB","30.9","1","30.9"
"5","Justin Blackmon","FA","WR","29.6","1","29.6"
"6","New England Patriots","NE","DST","27.0","1","27.0"
"7","Rob Gronkowski","FA","TE","25.7","1","25.7"
"8","Tom Brady","NE","QB","25.2","1","25.2"
"9","Andy Dalton","CIN","QB","24.5","1","24.5"
"10","Green Bay Packers","GB","DST","23.0","1","23.0"
"11","Josh Freeman","FA","QB","22.6","1","22.6"
"12","T.Y. Hilton","IND","WR","22.0","1","22.0"
"13","Danario Alexander","FA","WR","21.6","1","21.6"
"14","Drew Brees","NO","QB","20.8","1","20.8"
"14","Peyton Manning","FA","QB","20.8","1","20.8"
"15","Dez Bryant","FA","WR","20.5","1","20.5"
"16","Garrett Graham","FA","TE","20.2","1","20.2"
"17","Marcel Reece","FA","RB","19.3","1","19.3"
"17","LaRod Stephens-Howling","FA","RB","19.3","1","19.3"
"18","Buffalo Bills","BUF","DST","19.0","1","19.0"
"18","Baltimore Ravens","BAL","DST","19.0","1","19.0"
"19","Colin Kaepernick","FA","QB","18.9","1","18.9"
"20","Calvin Johnson","FA","WR","18.3","1","18.3"
"21","Cam Newton","CAR","QB","18.1","1","18.1"
"22","Bilal Powell","NYJ","RB","18.0","1","18.0"
"23","Vincent Jackson","FA","WR","17.4","1","17.4"
"24","Lance Moore","FA","WR","17.3","1","17.3"
"25","New Orleans Saints","NO","DST","17.0","1","17.0"
"25","Washington Redskins","WAS","DST","17.0","1","17.0"
"26","BenJarvus Green-Ellis","FA","RB","16.8","1","16.8"
"27","Benjamin Watson","NE","TE","16.7","1","16.7"
"27","Carson Palmer","FA","QB","16.7","1","16.7"
"28","Julian Edelman","NE","WR","16.5","1","16.5"
"29","San Francisco 49ers","SF","DST","16.0","1","16.0"
"29","Marcedes Lewis","GB","TE","16.0","1","16.0"
"30","Aaron Rodgers","GB","QB","15.7","1","15.7"
"31","Tony Romo","FA","QB","15.5","1","15.5"
"32","Brandon LaFell","FA","WR","15.3","1","15.3"
"32","Randall Cobb","DAL","WR","15.3","1","15.3"
"33","A.J. Green","CIN","WR","15.1","1","15.1"
"33","Byron Leftwich","PIT","QB","15.1","1","15.1"
"34","Atlanta Falcons","ATL","DST","15.0","1","15.0"
"34","Josh Scobee","FA","K","15.0","1","15.0"
"34","Los Angeles Chargers","LAC","DST","15.0","1","15.0"
"35","Trent Richardson","FA","RB","14.4","1","14.4"
"35","Brandon Weeden","FA","QB","14.4","1","14.4"
"36","Vernon Davis","WAS","TE","14.3","1","14.3"
"37","Mikel Leshoure","FA","RB","14.2","1","14.2"
"38","Cecil Shorts","FA","WR","14.1","1","14.1"
"38","Doug Martin","FA","RB","14.1","1","14.1"
"39","Rian Lindell","FA","K","14.0","1","14.0"
"39","Matt Bryant","ATL","K","14.0","1","14.0"
"39","Jay Feely","FA","K","14.0","1","14.0"
"40","Andrew Luck","FA","QB","13.8","1","13.8"
"41","Jonathan Stewart","FA","RB","13.3","1","13.3"
"42","Arizona Cardinals","ARI","DST","13.0","1","13.0"
"42","Carolina Panthers","CAR","DST","13.0","1","13.0"
"42","C.J. Spiller","FA","RB","13.0","1","13.0"
"42","Miami Dolphins","MIA","DST","13.0","1","13.0"
"43","Brandon Gibson","FA","WR","12.9","1","12.9"
"44","Mark Ingram","BAL","RB","12.8","1","12.8"
"45","Jermichael Finley","FA","TE","12.6","1","12.6"
"46","Philip Rivers","LAC","QB","12.3","1","12.3"
"46","Roddy White","FA","WR","12.3","1","12.3"
"47","Santana Moss","FA","WR","12.1","1","12.1"
"48","David Akers","FA","K","12.0","1","12.0"
"48","Shayne Graham","FA","K","12.0","1","12.0"
"48","Dan Bailey","MIN","K","12.0","1","12.0"
"48","Cincinnati Bengals","CIN","DST","12.0","1","12.0"
"49","Jamaal Charles","FA","RB","11.8","1","11.8"
"49","Dallas Clark","FA","TE","11.8","1","11.8"
"50","Sam Bradford","FA","QB","11.5","1","11.5"
"50","Brandon Stokley","FA","WR","11.5","1","11.5"
"50","Brandon Myers","FA","TE","11.5","1","11.5"
"50","Felix Jones","FA","RB","11.5","1","11.5"
"51","Shane Vereen","FA","RB","11.1","1","11.1"
"52","Matt Prater","DET","K","11.0","1","11.0"
"52","Davone Bess","FA","WR","11.0","1","11.0"
"52","Nick Folk","FA","K","11.0","1","11.0"
"52","Denver Broncos","DEN","DST","11.0","1","11.0"
"52","New York Jets","NYJ","DST","11.0","1","11.0"
"53","Aldrick Robinson","FA","WR","10.9","1","10.9"
"53","Mark Sanchez","FA","QB","10.9","1","10.9"
"54","Chaz Schilens","FA","WR","10.8","1","10.8"
"55","Michael Turner","FA","RB","10.6","1","10.6"
"56","Demaryius Thomas","NE","WR","10.2","1","10.2"
"57","Stephen Gostkowski","NE","K","10.0","1","10.0"
"57","Phil Dawson","FA","K","10.0","1","10.0"
"57","Connor Barth","FA","K","10.0","1","10.0"
"58","Matthew Stafford","DET","QB","9.8","1","9.8"
"59","Ray Rice","FA","RB","9.3","1","9.3"
"60","LeSean McCoy","KC","RB","9.2","1","9.2"
"61","Michael Crabtree","ARI","WR","9.1","1","9.1"
"62","Garrett Hartley","FA","K","9.0","1","9.0"
