"Rank","Player","Team","Position","Points","Games","Avg"
"1","Cam Newton","CAR","QB","37.4","1","37.4"
"2","Tom Brady","NE","QB","31.4","1","31.4"
"3","Robert Griffin","BAL","QB","29.3","1","29.3"
"4","Tony Romo","FA","QB","28.3","1","28.3"
"5","New England Patriots","NE","DST","28.0","1","28.0"
"6","Bryce Brown","FA","RB","26.9","1","26.9"
"7","Matthew Stafford","DET","QB","26.3","1","26.3"
"8","Los Angeles Rams","LAR","DST","26.0","1","26.0"
"9","Dez Bryant","FA","WR","25.1","1","25.1"
"10","Arian Foster","FA","RB","23.7","1","23.7"
"11","Eli Manning","NYG","QB","23.2","1","23.2"
"12","Cleveland Browns","CLE","DST","21.0","1","21.0"
"12","San Francisco 49ers","SF","DST","21.0","1","21.0"
"13","Andy Dalton","CIN","QB","20.9","1","20.9"
"14","Russell Wilson","SEA","QB","20.8","1","20.8"
"15","Julio Jones","ATL","WR","20.7","1","20.7"
"16","Calvin Johnson","FA","WR","20.0","1","20.0"
"17","Colin Kaepernick","FA","QB","19.9","1","19.9"
"18","BenJarvus Green-Ellis","FA","RB","19.8","1","19.8"
"19","Shane Vereen","FA","RB","19.3","1","19.3"
"20","Andre Johnson","FA","WR","18.8","1","18.8"
"21","Drew Brees","NO","QB","18.5","1","18.5"
"22","Doug Martin","FA","RB","18.3","1","18.3"
"23","Michael Bush","FA","RB","17.9","1","17.9"
"23","Ahmad Bradshaw","FA","RB","17.9","1","17.9"
"24","Joe Flacco","DEN","QB","17.8","1","17.8"
"25","Chris Givens","FA","WR","17.6","1","17.6"
"26","Peyton Manning","FA","QB","17.5","1","17.5"
"27","Alfred Morris","DAL","RB","17.3","1","17.3"
"28","Trent Richardson","FA","RB","17.2","1","17.2"
"29","Chris Beanie Wells","FA","RB","16.8","1","16.8"
"30","Cecil Shorts","FA","WR","16.5","1","16.5"
"31","Chad Henne","KC","QB","16.4","1","16.4"
"31","Ray Rice","FA","RB","16.4","1","16.4"
"32","Frank Gore","BUF","RB","16.1","1","16.1"
"33","Pittsburgh Steelers","PIT","DST","16.0","1","16.0"
"34","Stevan Ridley","FA","RB","15.7","1","15.7"
"35","Matt Ryan","ATL","QB","15.4","1","15.4"
"35","Mohamed Sanu","ATL","WR","15.4","1","15.4"
"35","Ryan Tannehill","TEN","QB","15.4","1","15.4"
"36","Pierre Garcon","FA","WR","15.3","1","15.3"
"37","Justin Forsett","FA","RB","14.7","1","14.7"
"38","Matt Schaub","ATL","QB","14.5","1","14.5"
"39","Charles Clay","ARI","TE","14.4","1","14.4"
"39","Torrey Smith","FA","WR","14.4","1","14.4"
"40","Sam Bradford","FA","QB","14.3","1","14.3"
