"Rank","Player","Team","Position","Points","Games","Avg"
"1","Seattle Seahawks","SEA","DST","41.0","1","41.0"
"2","Cam Newton","CAR","QB","37.1","1","37.1"
"3","Nick Foles","JAC","QB","31.9","1","31.9"
"4","Marshawn Lynch","FA","RB","30.8","1","30.8"
"5","Adrian Peterson","WAS","RB","29.0","1","29.0"
"6","Tom Brady","NE","QB","28.4","1","28.4"
"7","Mike Wallace","FA","WR","23.2","1","23.2"
"8","Knowshon Moreno","FA","RB","22.7","1","22.7"
"9","Ben Roethlisberger","PIT","QB","22.5","1","22.5"
"9","Jamaal Charles","FA","RB","22.5","1","22.5"
"10","Eli Manning","NYG","QB","22.1","1","22.1"
"11","David Wilson","FA","RB","22.0","1","22.0"
"11","Brandon Marshall","FA","WR","22.0","1","22.0"
"12","Danario Alexander","FA","WR","20.8","1","20.8"
"13","Darren Sproles","PHI","RB","20.4","1","20.4"
"14","Philip Rivers","LAC","QB","20.3","1","20.3"
"15","Anquan Boldin","FA","WR","19.8","1","19.8"
"16","Matt Ryan","ATL","QB","19.7","1","19.7"
"17","Ray Rice","FA","RB","19.6","1","19.6"
"18","Doug Martin","FA","RB","19.2","1","19.2"
"19","Vincent Jackson","FA","WR","19.1","1","19.1"
"20","Colin Kaepernick","FA","QB","18.7","1","18.7"
"21","Victor Cruz","FA","WR","18.1","1","18.1"
"22","Aaron Hernandez","FA","TE","17.8","1","17.8"
"23","Roddy White","FA","WR","17.7","1","17.7"
"24","Matthew Stafford","DET","QB","17.5","1","17.5"
"25","Robert Griffin","BAL","QB","17.2","1","17.2"
"25","DeAngelo Williams","FA","RB","17.2","1","17.2"
"26","Trent Richardson","FA","RB","17.1","1","17.1"
"27","Cleveland Browns","CLE","DST","17.0","1","17.0"
"28","Josh Freeman","FA","QB","16.9","1","16.9"
"29","Jeremy Maclin","FA","WR","16.4","1","16.4"
"30","Alfred Morris","DAL","RB","16.2","1","16.2"
"30","Montell Owens","FA","RB","16.2","1","16.2"
"30","Joe Flacco","DEN","QB","16.2","1","16.2"
"31","Brandon Gibson","FA","WR","16.0","1","16.0"
"31","Steven Hauschka","BUF","K","16.0","1","16.0"
"31","Minnesota Vikings","MIN","DST","16.0","1","16.0"
"32","Jake Locker","FA","QB","15.6","1","15.6"
"33","Green Bay Packers","GB","DST","15.0","1","15.0"
"33","New York Giants","NYG","DST","15.0","1","15.0"
"33","Matt Prater","DET","K","15.0","1","15.0"
"33","Josh Brown","FA","K","15.0","1","15.0"
"34","Pierre Garcon","FA","WR","14.9","1","14.9"
"34","Brandon Lloyd","FA","WR","14.9","1","14.9"
"35","Carson Palmer","FA","QB","14.8","1","14.8"
"36","Frank Gore","BUF","RB","14.5","1","14.5"
"36","Arian Foster","FA","RB","14.5","1","14.5"
"37","Kenny Britt","FA","WR","14.3","1","14.3"
"38","Darrius Heyward-Bey","FA","WR","14.2","1","14.2"
"39","Aaron Rodgers","GB","QB","14.1","1","14.1"
"39","Drew Brees","NO","QB","14.1","1","14.1"
"39","Peyton Manning","FA","QB","14.1","1","14.1"
"40","Tennessee Titans","TEN","DST","14.0","1","14.0"
"41","Bilal Powell","NYJ","RB","13.8","1","13.8"
"42","Shonn Greene","FA","RB","13.7","1","13.7"
"42","Sam Bradford","FA","QB","13.7","1","13.7"
"43","DeMarco Murray","FA","RB","13.5","1","13.5"
"44","Steven Jackson","FA","RB","13.3","1","13.3"
"44","Jason Avant","FA","WR","13.3","1","13.3"
"45","Stevan Ridley","FA","RB","13.2","1","13.2"
"46","Los Angeles Rams","LAR","DST","13.0","1","13.0"
"46","Kai Forbath","FA","K","13.0","1","13.0"
"46","Graham Gano","CAR","K","13.0","1","13.0"
"47","Tony Romo","FA","QB","12.7","1","12.7"
"47","Hakeem Nicks","FA","WR","12.7","1","12.7"
"48","Julio Jones","ATL","WR","12.6","1","12.6"
"49","Ryan Tannehill","TEN","QB","12.5","1","12.5"
"50","Darren McFadden","FA","RB","12.4","1","12.4"
"50","Ryan Fitzpatrick","MIA","QB","12.4","1","12.4"
"51","Donte' Stallworth","FA","WR","12.3","1","12.3"
"52","Los Angeles Chargers","LAC","DST","12.0","1","12.0"
"52","Jay Cutler","FA","QB","12.0","1","12.0"
"52","Nick Novak","FA","K","12.0","1","12.0"
"52","Adam Vinatieri","IND","K","12.0","1","12.0"
"52","Phil Dawson","FA","K","12.0","1","12.0"
"53","Matt Forte","FA","RB","11.9","1","11.9"
"53","Reggie Wayne","FA","WR","11.9","1","11.9"
"54","Calvin Johnson","FA","WR","11.8","1","11.8"
"55","Alshon Jeffery","PHI","WR","11.7","1","11.7"
"56","Greg Olsen","CAR","TE","11.5","1","11.5"
"57","Clay Harbor","FA","TE","11.2","1","11.2"
"58","Dallas Cowboys","DAL","DST","11.0","1","11.0"
"58","Indianapolis Colts","IND","DST","11.0","1","11.0"
"58","New York Jets","NYJ","DST","11.0","1","11.0"
"58","Rob Bironas","FA","K","11.0","1","11.0"
"59","Steve Smith","FA","WR","10.9","1","10.9"
"60","Robert Turbin","FA","RB","10.8","1","10.8"
"61","Joseph Morgan","FA","WR","10.6","1","10.6"
"61","Dennis Pitta","FA","TE","10.6","1","10.6"
"62","Anthony McCoy","FA","TE","10.5","1","10.5"
"63","Andrew Hawkins","FA","WR","10.4","1","10.4"
"63","Vick Ballard","FA","RB","10.4","1","10.4"
"64","Reggie Bush","FA","RB","10.3","1","10.3"
"65","BenJarvus Green-Ellis","FA","RB","10.2","1","10.2"
"65","Brandon Weeden","FA","QB","10.2","1","10.2"
"65","Andy Dalton","CIN","QB","10.2","1","10.2"
"65","Randall Cobb","DAL","WR","10.2","1","10.2"
"66","Rod Streater","FA","WR","10.0","1","10.0"
"66","Mason Crosby","GB","K","10.0","1","10.0"
"67","Dez Bryant","FA","WR","9.9","1","9.9"
"68","Leon Washington","FA","RB","9.8","1","9.8"
"69","Joique Bell","FA","RB","9.6","1","9.6"
"70","Antonio Brown","FA","WR","9.5","1","9.5"
"70","Andre Johnson","FA","WR","9.5","1","9.5"
"71","Michael Crabtree","ARI","WR","9.3","1","9.3"
"72","Martellus Bennett","FA","TE","9.2","1","9.2"
