"Rank","Player","Team","Position","Points","Games","Avg"
"1","Doug Martin","FA","RB","51.2","1","51.2"
"2","Adrian Peterson","WAS","RB","31.3","1","31.3"
"3","Brandon Marshall","FA","WR","30.2","1","30.2"
"4","Chicago Bears","CHI","DST","29.0","1","29.0"
"5","Carson Palmer","FA","QB","28.9","1","28.9"
"6","Aaron Rodgers","GB","QB","26.0","1","26.0"
"7","Andrew Luck","FA","QB","25.8","1","25.8"
"8","Mikel Leshoure","FA","RB","25.0","1","25.0"
"8","Los Angeles Chargers","LAC","DST","25.0","1","25.0"
"9","Eric Decker","FA","WR","21.9","1","21.9"
"10","Cam Newton","CAR","QB","21.7","1","21.7"
"11","Russell Wilson","SEA","QB","21.6","1","21.6"
"12","Isaac Redman","FA","RB","21.1","1","21.1"
"13","Marshawn Lynch","FA","RB","21.0","1","21.0"
"13","New Orleans Saints","NO","DST","21.0","1","21.0"
"14","Matt Forte","FA","RB","20.8","1","20.8"
"15","Jay Cutler","FA","QB","20.4","1","20.4"
"16","Peyton Manning","FA","QB","19.4","1","19.4"
"17","Randall Cobb","DAL","WR","18.6","1","18.6"
"17","Matt Schaub","ATL","QB","18.6","1","18.6"
"18","Michael Vick","FA","QB","18.2","1","18.2"
"19","Josh Freeman","FA","QB","18.1","1","18.1"
"20","Brandon Myers","FA","TE","17.9","1","17.9"
"21","Arian Foster","FA","RB","17.1","1","17.1"
"22","Joique Bell","FA","RB","16.9","1","16.9"
"22","Golden Tate","NYG","WR","16.9","1","16.9"
"23","Tony Romo","FA","QB","16.8","1","16.8"
"24","Chris Johnson","FA","RB","16.5","1","16.5"
"24","A.J. Green","CIN","WR","16.5","1","16.5"
"25","Ray Rice","FA","RB","16.4","1","16.4"
"26","T.Y. Hilton","IND","WR","16.3","1","16.3"
"27","Michael Turner","FA","RB","16.2","1","16.2"
"28","Robbie Gould","SF","K","16.0","1","16.0"
"28","DeSean Jackson","PHI","WR","16.0","1","16.0"
"28","Phil Dawson","FA","K","16.0","1","16.0"
"29","Andy Dalton","CIN","QB","15.6","1","15.6"
"29","Kevin Ogletree","FA","WR","15.6","1","15.6"
"30","Drew Brees","NO","QB","15.5","1","15.5"
"30","Marcel Reece","FA","RB","15.5","1","15.5"
"30","Ryan Tannehill","TEN","QB","15.5","1","15.5"
"31","Blaine Gabbert","TB","QB","15.2","1","15.2"
"32","Philip Rivers","LAC","QB","14.6","1","14.6"
"33","Matt Ryan","ATL","QB","14.5","1","14.5"
"34","Vincent Jackson","FA","WR","14.4","1","14.4"
"35","John Skelton","FA","QB","14.2","1","14.2"
"36","New York Giants","NYG","DST","14.0","1","14.0"
"37","Robert Griffin","BAL","QB","13.9","1","13.9"
"38","Reggie Wayne","FA","WR","13.8","1","13.8"
"39","Julio Jones","ATL","WR","13.7","1","13.7"
"40","Trent Richardson","FA","RB","13.6","1","13.6"
"40","Matt Hasselbeck","FA","QB","13.6","1","13.6"
"41","Larry Fitzgerald","ARI","WR","13.4","1","13.4"
"42","LeSean McCoy","KC","RB","13.3","1","13.3"
"43","Jimmy Graham","GB","TE","13.2","1","13.2"
"43","Tom Crabtree","FA","TE","13.2","1","13.2"
"44","Matt Bryant","ATL","K","13.0","1","13.0"
"44","Denver Broncos","DEN","DST","13.0","1","13.0"
"45","Calvin Johnson","FA","WR","12.9","1","12.9"
"46","Mike Williams","FA","WR","12.8","1","12.8"
"47","Mike Wallace","FA","WR","12.6","1","12.6"
"47","Reggie Bush","FA","RB","12.6","1","12.6"
"48","Ben Roethlisberger","PIT","QB","12.5","1","12.5"
"49","Sidney Rice","FA","WR","12.4","1","12.4"
"50","Owen Daniels","FA","TE","12.2","1","12.2"
"50","Joe Flacco","DEN","QB","12.2","1","12.2"
"51","James Jones","FA","WR","12.1","1","12.1"
"52","Seattle Seahawks","SEA","DST","12.0","1","12.0"
"52","Mike Nugent","FA","K","12.0","1","12.0"
"53","LaRod Stephens-Howling","FA","RB","11.9","1","11.9"
"54","Roddy White","FA","WR","11.8","1","11.8"
"54","Andre Johnson","FA","WR","11.8","1","11.8"
"55","Rod Streater","FA","WR","11.4","1","11.4"
"56","BenJarvus Green-Ellis","FA","RB","11.3","1","11.3"
"57","Matthew Stafford","DET","QB","11.2","1","11.2"
"58","Chris Ivory","FA","RB","11.0","1","11.0"
"58","Adam Vinatieri","IND","K","11.0","1","11.0"
"59","Felix Jones","FA","RB","10.9","1","10.9"
"60","Malcom Floyd","FA","WR","10.8","1","10.8"
"60","Jermaine Gresham","FA","TE","10.8","1","10.8"
"60","Donnie Avery","FA","WR","10.8","1","10.8"
"61","Brian Hartline","FA","WR","10.7","1","10.7"
"62","Marques Colston","FA","WR","10.6","1","10.6"
"62","Torrey Smith","FA","WR","10.6","1","10.6"
"63","Antonio Gates","FA","TE","10.3","1","10.3"
"64","C.J. Spiller","FA","RB","10.2","1","10.2"
"65","Steve Smith","FA","WR","10.1","1","10.1"
"66","Blair Walsh","FA","K","10.0","1","10.0"
"66","Green Bay Packers","GB","DST","10.0","1","10.0"
"67","Vick Ballard","FA","RB","9.8","1","9.8"
"67","Joel Dreessen","FA","TE","9.8","1","9.8"
"68","DeAngelo Williams","FA","RB","9.7","1","9.7"
"69","Evan Royster","FA","RB","9.6","1","9.6"
"70","Micheal Spurlock","FA","WR","9.5","1","9.5"
"70","Nate Washington","FA","WR","9.5","1","9.5"
"71","Ryan Fitzpatrick","MIA","QB","9.4","1","9.4"
"72","Justin Blackmon","FA","WR","9.2","1","9.2"
"73","Charles Clay","ARI","TE","9.1","1","9.1"
"74","Houston Texans","HOU","DST","9.0","1","9.0"
"74","Lawrence Tynes","FA","K","9.0","1","9.0"
"74","Detroit Lions","DET","DST","9.0","1","9.0"
"74","Baltimore Ravens","BAL","DST","9.0","1","9.0"
"75","Shaun Draughn","FA","RB","8.7","1","8.7"
"76","Bernard Pierce","FA","RB","8.6","1","8.6"
"76","Andre Roberts","BUF","WR","8.6","1","8.6"
"77","Armanti Edwards","FA","WR","8.2","1","8.2"
"78","Michael Floyd","FA","WR","8.0","1","8.0"
"78","Ryan Succop","TEN","K","8.0","1","8.0"
"78","Andre Brown","FA","RB","8.0","1","8.0"
"78","Matt Prater","DET","K","8.0","1","8.0"
"78","Emmanuel Sanders","DEN","WR","8.0","1","8.0"
"78","Dan Carpenter","FA","K","8.0","1","8.0"
"78","Carolina Panthers","CAR","DST","8.0","1","8.0"
"78","Kai Forbath","FA","K","8.0","1","8.0"
"78","Rian Lindell","FA","K","8.0","1","8.0"
"78","Pittsburgh Steelers","PIT","DST","8.0","1","8.0"
"78","Tampa Bay Buccaneers","TB","DST","8.0","1","8.0"
"79","Alex Green","FA","RB","7.8","1","7.8"
"80","Demaryius Thomas","NE","WR","7.7","1","7.7"
"80","Anquan Boldin","FA","WR","7.7","1","7.7"
"81","Alfred Morris","DAL","RB","7.6","1","7.6"
"81","Miles Austin","FA","WR","7.6","1","7.6"
"82","Dwayne Allen","FA","TE","7.5","1","7.5"
"83","Darrius Heyward-Bey","FA","WR","7.4","1","7.4"
"84","Ronnie Brown","FA","RB","7.3","1","7.3"
"85","Ryan Mathews","FA","RB","7.2","1","7.2"
"85","Rashad Jennings","FA","RB","7.2","1","7.2"
