"Rank","Player","Team","Position","Points","Games","Avg"
"1","Chris Johnson","FA","RB","31.8","1","31.8"
"2","Josh Freeman","FA","QB","29.7","1","29.7"
"3","Drew Brees","NO","QB","29.2","1","29.2"
"4","Vincent Jackson","FA","WR","27.6","1","27.6"
"5","Aaron Rodgers","GB","QB","25.7","1","25.7"
"6","Robert Griffin","BAL","QB","23.2","1","23.2"
"7","Randall Cobb","DAL","WR","22.8","1","22.8"
"8","Arian Foster","FA","RB","22.3","1","22.3"
"9","Adrian Peterson","WAS","RB","21.9","1","21.9"
"10","Minnesota Vikings","MIN","DST","21.0","1","21.0"
"11","LaRod Stephens-Howling","FA","RB","20.9","1","20.9"
"12","Houston Texans","HOU","DST","20.0","1","20.0"
"13","Rob Gronkowski","FA","TE","19.8","1","19.8"
"14","Carson Palmer","FA","QB","19.3","1","19.3"
"14","Ryan Fitzpatrick","MIA","QB","19.3","1","19.3"
"15","Victor Cruz","FA","WR","19.1","1","19.1"
"16","Brandon Weeden","FA","QB","19.0","1","19.0"
"17","Andrew Luck","FA","QB","18.6","1","18.6"
"18","Tom Brady","NE","QB","18.4","1","18.4"
"19","Doug Martin","FA","RB","18.2","1","18.2"
"19","Jordy Nelson","FA","WR","18.2","1","18.2"
"19","Frank Gore","BUF","RB","18.2","1","18.2"
"20","Matt Schaub","ATL","QB","18.0","1","18.0"
"20","Fred Jackson","FA","RB","18.0","1","18.0"
"20","Nick Folk","FA","K","18.0","1","18.0"
"21","Santana Moss","FA","WR","16.7","1","16.7"
"22","Cam Newton","CAR","QB","16.3","1","16.3"
"22","Andre Roberts","BUF","WR","16.3","1","16.3"
"23","Rashad Jennings","FA","RB","16.2","1","16.2"
"24","New England Patriots","NE","DST","16.0","1","16.0"
"25","Dustin Keller","FA","TE","15.3","1","15.3"
"26","Chicago Bears","CHI","DST","15.0","1","15.0"
"26","Josh Scobee","FA","K","15.0","1","15.0"
"27","Shonn Greene","FA","RB","14.8","1","14.8"
"28","Matthew Stafford","DET","QB","14.7","1","14.7"
"29","Tony Romo","FA","QB","14.2","1","14.2"
"30","Brandon Marshall","FA","WR","14.1","1","14.1"
"31","Sebastian Janikowski","FA","K","14.0","1","14.0"
"31","Dan Bailey","MIN","K","14.0","1","14.0"
"32","Eli Manning","NYG","QB","13.9","1","13.9"
"33","Miles Austin","FA","WR","13.7","1","13.7"
"34","Jay Cutler","FA","QB","13.4","1","13.4"
"34","Kevin Walter","FA","WR","13.4","1","13.4"
"35","Heath Miller","FA","TE","13.3","1","13.3"
"35","Marques Colston","FA","WR","13.3","1","13.3"
"36","Mark Sanchez","FA","QB","13.1","1","13.1"
"36","Stevie Johnson","FA","WR","13.1","1","13.1"
"37","Kai Forbath","FA","K","13.0","1","13.0"
"37","Shaun Suisham","FA","K","13.0","1","13.0"
