"Rank","Player","Team","Position","Points","Games","Avg"
"1","Joe Flacco","DEN","QB","29.7","1","29.7"
"2","Denver Broncos","DEN","DST","29.0","1","29.0"
"3","Jimmy Graham","GB","TE","26.6","1","26.6"
"3","Matt Ryan","ATL","QB","26.6","1","26.6"
"4","Adrian Peterson","WAS","RB","25.6","1","25.6"
"5","Calvin Johnson","FA","WR","24.7","1","24.7"
"6","Matthew Stafford","DET","QB","24.5","1","24.5"
"7","Tony Gonzalez","FA","TE","24.2","1","24.2"
"8","Dallas Cowboys","DAL","DST","24.0","1","24.0"
"9","Andy Dalton","CIN","QB","23.8","1","23.8"
"10","Tennessee Titans","TEN","DST","23.0","1","23.0"
"11","Greg Olsen","CAR","TE","22.2","1","22.2"
"12","Philip Rivers","LAC","QB","22.0","1","22.0"
"13","Drew Brees","NO","QB","21.8","1","21.8"
"14","Fred Jackson","FA","RB","21.5","1","21.5"
"15","Indianapolis Colts","IND","DST","20.0","1","20.0"
"16","Chris Johnson","FA","RB","19.4","1","19.4"
"16","Danario Alexander","FA","WR","19.4","1","19.4"
"17","Marshawn Lynch","FA","RB","19.1","1","19.1"
"18","Baltimore Ravens","BAL","DST","19.0","1","19.0"
"18","Sam Bradford","FA","QB","19.0","1","19.0"
"18","Tampa Bay Buccaneers","TB","DST","19.0","1","19.0"
"19","Carson Palmer","FA","QB","18.7","1","18.7"
"19","Ryan Fitzpatrick","MIA","QB","18.7","1","18.7"
"19","Steven Jackson","FA","RB","18.7","1","18.7"
"19","Torrey Smith","FA","WR","18.7","1","18.7"
"20","Andrew Luck","FA","QB","18.2","1","18.2"
"21","Danny Woodhead","FA","RB","18.1","1","18.1"
"22","Arian Foster","FA","RB","17.7","1","17.7"
"23","Frank Gore","BUF","RB","17.5","1","17.5"
"24","Sidney Rice","FA","WR","17.4","1","17.4"
"24","Tom Brady","NE","QB","17.4","1","17.4"
"25","Colin Kaepernick","FA","QB","17.3","1","17.3"
"26","Russell Wilson","SEA","QB","16.9","1","16.9"
"27","Christian Ponder","FA","QB","16.8","1","16.8"
"27","Josh Freeman","FA","QB","16.8","1","16.8"
"28","Cecil Shorts","FA","WR","16.5","1","16.5"
"28","Jake Locker","FA","QB","16.5","1","16.5"
"29","Tony Romo","FA","QB","16.3","1","16.3"
"30","Jamaal Charles","FA","RB","16.0","1","16.0"
"30","Golden Tate","NYG","WR","16.0","1","16.0"
"30","Cincinnati Bengals","CIN","DST","16.0","1","16.0"
"31","Stevan Ridley","FA","RB","15.8","1","15.8"
"32","Andre Brown","FA","RB","15.4","1","15.4"
"33","Jeremy Maclin","FA","WR","15.3","1","15.3"
"33","Felix Jones","FA","RB","15.3","1","15.3"
"34","Denarius Moore","FA","WR","15.0","1","15.0"
"34","Stephen Gostkowski","NE","K","15.0","1","15.0"
"34","Houston Texans","HOU","DST","15.0","1","15.0"
"34","Blair Walsh","FA","K","15.0","1","15.0"
"34","Rob Bironas","FA","K","15.0","1","15.0"
"35","Dez Bryant","FA","WR","14.7","1","14.7"
"36","A.J. Green","CIN","WR","14.5","1","14.5"
"36","Chris Ivory","FA","RB","14.5","1","14.5"
