"Rank","Player","Team","Position","Points","Games","Avg"
"1","Dez Bryant","FA","WR","34.4","1","34.4"
"2","Aaron Rodgers","GB","QB","32.8","1","32.8"
"3","Tony Romo","FA","QB","32.6","1","32.6"
"4","Drew Brees","NO","QB","29.7","1","29.7"
"4","Matt Ryan","ATL","QB","29.7","1","29.7"
"5","Reggie Bush","FA","RB","28.7","1","28.7"
"6","Roddy White","FA","WR","27.3","1","27.3"
"7","Jamaal Charles","FA","RB","27.0","1","27.0"
"8","Chicago Bears","CHI","DST","26.0","1","26.0"
"9","Joe Flacco","DEN","QB","25.4","1","25.4"
"10","Los Angeles Rams","LAR","DST","25.0","1","25.0"
"10","Los Angeles Chargers","LAC","DST","25.0","1","25.0"
"10","Marshawn Lynch","FA","RB","25.0","1","25.0"
"11","Russell Wilson","SEA","QB","23.7","1","23.7"
"12","Peyton Manning","FA","QB","23.6","1","23.6"
"13","Ryan Grant","FA","RB","23.4","1","23.4"
"14","Ray Rice","FA","RB","21.8","1","21.8"
"15","Cam Newton","CAR","QB","20.8","1","20.8"
"16","Calvin Johnson","FA","WR","20.5","1","20.5"
"17","Cincinnati Bengals","CIN","DST","20.0","1","20.0"
"17","Shonn Greene","FA","RB","20.0","1","20.0"
"18","Mike Williams","FA","WR","19.2","1","19.2"
"19","Eric Decker","FA","WR","18.5","1","18.5"
"20","Lance Kendricks","NE","TE","17.9","1","17.9"
"21","Jeremy Maclin","FA","WR","17.6","1","17.6"
"21","Ryan Tannehill","TEN","QB","17.6","1","17.6"
"22","C.J. Spiller","FA","RB","17.3","1","17.3"
"22","Doug Baldwin","FA","WR","17.3","1","17.3"
"23","Indianapolis Colts","IND","DST","17.0","1","17.0"
"23","Seattle Seahawks","SEA","DST","17.0","1","17.0"
"24","Alfred Morris","DAL","RB","16.8","1","16.8"
"25","Demaryius Thomas","NE","WR","16.2","1","16.2"
"26","James Jones","FA","WR","16.0","1","16.0"
"26","Pittsburgh Steelers","PIT","DST","16.0","1","16.0"
"27","Matthew Stafford","DET","QB","15.9","1","15.9"
"28","Antonio Brown","FA","WR","15.7","1","15.7"
"28","Wes Welker","FA","WR","15.7","1","15.7"
"29","Matt Forte","FA","RB","15.5","1","15.5"
"30","Marques Colston","FA","WR","15.3","1","15.3"
"31","Darren Sproles","PHI","RB","15.2","1","15.2"
"32","Philip Rivers","LAC","QB","15.0","1","15.0"
"32","Justin Tucker","BAL","K","15.0","1","15.0"
"32","Minnesota Vikings","MIN","DST","15.0","1","15.0"
"32","Green Bay Packers","GB","DST","15.0","1","15.0"
"33","Colin Kaepernick","FA","QB","14.9","1","14.9"
"34","Nick Foles","JAC","QB","14.8","1","14.8"
"34","Torrey Smith","FA","WR","14.8","1","14.8"
"35","Tom Brady","NE","QB","14.7","1","14.7"
