"Rank","Player","Team","Position","Points","Games","Avg"
"1","Cam Newton","CAR","QB","29.1","1","29.1"
"2","Andrew Luck","FA","QB","28.9","1","28.9"
"3","Bryce Brown","FA","RB","28.3","1","28.3"
"4","Adrian Peterson","WAS","RB","28.0","1","28.0"
"5","Russell Wilson","SEA","QB","26.8","1","26.8"
"6","Tony Romo","FA","QB","25.5","1","25.5"
"7","Calvin Johnson","FA","WR","23.1","1","23.1"
"8","Houston Texans","HOU","DST","22.0","1","22.0"
"9","Demaryius Thomas","NE","WR","21.9","1","21.9"
"10","Dez Bryant","FA","WR","21.8","1","21.8"
"11","Donnie Avery","FA","WR","21.1","1","21.1"
"12","Carson Palmer","FA","QB","20.3","1","20.3"
"13","Jay Cutler","FA","QB","20.0","1","20.0"
"14","Peyton Manning","FA","QB","19.2","1","19.2"
"15","Brandon Myers","FA","TE","19.0","1","19.0"
"16","Matthew Stafford","DET","QB","18.5","1","18.5"
"17","Ryan Fitzpatrick","MIA","QB","18.3","1","18.3"
"18","Steve Smith","FA","WR","18.0","1","18.0"
"18","Jason Hanson","FA","K","18.0","1","18.0"
"19","Robert Griffin","BAL","QB","17.7","1","17.7"
"20","Josh Gordon","NE","WR","17.6","1","17.6"
"21","Brady Quinn","FA","QB","17.2","1","17.2"
"22","Los Angeles Rams","LAR","DST","17.0","1","17.0"
"22","Los Angeles Chargers","LAC","DST","17.0","1","17.0"
"23","Pierre Garcon","FA","WR","16.6","1","16.6"
"24","Brandon Marshall","FA","WR","16.5","1","16.5"
"25","Josh Freeman","FA","QB","16.4","1","16.4"
"26","Wes Welker","FA","WR","16.3","1","16.3"
"27","Matt Schaub","ATL","QB","16.2","1","16.2"
"27","DeMarco Murray","FA","RB","16.2","1","16.2"
"28","Sidney Rice","FA","WR","15.9","1","15.9"
"29","Eli Manning","NYG","QB","15.7","1","15.7"
"29","Brandon Weeden","FA","QB","15.7","1","15.7"
"29","Heath Miller","FA","TE","15.7","1","15.7"
"30","Rod Streater","FA","WR","15.6","1","15.6"
"30","Matt Forte","FA","RB","15.6","1","15.6"
"30","Golden Tate","NYG","WR","15.6","1","15.6"
"31","Trent Richardson","FA","RB","15.5","1","15.5"
"32","Mike Williams","FA","WR","15.3","1","15.3"
"33","Connor Barth","FA","K","15.0","1","15.0"
"33","Atlanta Falcons","ATL","DST","15.0","1","15.0"
"33","Arizona Cardinals","ARI","DST","15.0","1","15.0"
"34","Andy Dalton","CIN","QB","14.9","1","14.9"
"34","Aaron Rodgers","GB","QB","14.9","1","14.9"
"35","Colin Kaepernick","FA","QB","14.7","1","14.7"
"36","Chad Henne","KC","QB","14.4","1","14.4"
"36","C.J. Spiller","FA","RB","14.4","1","14.4"
"37","Ray Rice","FA","RB","14.3","1","14.3"
"38","James Starks","FA","RB","14.2","1","14.2"
"38","Martellus Bennett","FA","TE","14.2","1","14.2"
"39","Anquan Boldin","FA","WR","14.1","1","14.1"
"40","Nick Foles","JAC","QB","14.0","1","14.0"
"40","Shaun Suisham","FA","K","14.0","1","14.0"
"40","Matt Bryant","ATL","K","14.0","1","14.0"
"41","Sam Bradford","FA","QB","13.9","1","13.9"
"42","Jamaal Charles","FA","RB","13.8","1","13.8"
"42","Marshawn Lynch","FA","RB","13.8","1","13.8"
"43","Cecil Shorts","FA","WR","13.7","1","13.7"
"44","Mikel Leshoure","FA","RB","13.3","1","13.3"
"44","Ryan Tannehill","TEN","QB","13.3","1","13.3"
"45","BenJarvus Green-Ellis","FA","RB","13.2","1","13.2"
"46","Stevan Ridley","FA","RB","13.1","1","13.1"
"47","Michael Turner","FA","RB","13.0","1","13.0"
"47","Charlie Batch","PIT","QB","13.0","1","13.0"
