"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tennessee Titans","TEN","DST","41.0","1","41.0"
"2","Alfred Morris","DAL","RB","39.2","1","39.2"
"3","DeAngelo Williams","FA","RB","33.3","1","33.3"
"4","Adrian Peterson","WAS","RB","32.1","1","32.1"
"5","Drew Brees","NO","QB","29.8","1","29.8"
"6","Michael Crabtree","ARI","WR","29.2","1","29.2"
"7","Aaron Rodgers","GB","QB","28.6","1","28.6"
"8","Eli Manning","NYG","QB","28.3","1","28.3"
"9","Russell Wilson","SEA","QB","25.8","1","25.8"
"10","Peyton Manning","FA","QB","24.2","1","24.2"
"11","Greg Jennings","FA","WR","24.0","1","24.0"
"12","Christian Ponder","FA","QB","23.0","1","23.0"
"13","Terrelle Pryor","JAC","WR","22.9","1","22.9"
"14","Mike Tolbert","FA","RB","22.7","1","22.7"
"15","Doug Martin","FA","RB","22.0","1","22.0"
"16","New England Patriots","NE","DST","21.0","1","21.0"
"17","Ahmad Bradshaw","FA","RB","20.8","1","20.8"
"18","Michael Floyd","FA","WR","20.6","1","20.6"
"19","Eric Decker","FA","WR","19.6","1","19.6"
"20","Colin Kaepernick","FA","QB","19.5","1","19.5"
"21","Stevan Ridley","FA","RB","19.4","1","19.4"
"21","Tom Brady","NE","QB","19.4","1","19.4"
"22","Matt Forte","FA","RB","18.4","1","18.4"
"23","Demaryius Thomas","NE","WR","18.2","1","18.2"
"24","Indianapolis Colts","IND","DST","18.0","1","18.0"
"25","Arian Foster","FA","RB","17.9","1","17.9"
"26","Rueben Randle","FA","WR","17.8","1","17.8"
"26","Matthew Stafford","DET","QB","17.8","1","17.8"
"27","Jimmy Graham","GB","TE","17.5","1","17.5"
"28","Ben Roethlisberger","PIT","QB","17.2","1","17.2"
"28","Marques Colston","FA","WR","17.2","1","17.2"
"28","Jay Cutler","FA","QB","17.2","1","17.2"
"29","T.Y. Hilton","IND","WR","17.1","1","17.1"
"29","C.J. Spiller","FA","RB","17.1","1","17.1"
"30","Buffalo Bills","BUF","DST","17.0","1","17.0"
"31","Earl Bennett","FA","WR","16.9","1","16.9"
"32","Tyrod Taylor","LAC","QB","16.5","1","16.5"
"32","Wes Welker","FA","WR","16.5","1","16.5"
"33","Robert Griffin","BAL","QB","16.3","1","16.3"
"34","Cincinnati Bengals","CIN","DST","16.0","1","16.0"
"34","Pittsburgh Steelers","PIT","DST","16.0","1","16.0"
"35","Andrew Luck","FA","QB","15.7","1","15.7"
"36","Chad Henne","KC","QB","15.2","1","15.2"
"37","Justin Blackmon","FA","WR","15.0","1","15.0"
"37","Jarius Wright","CAR","WR","15.0","1","15.0"
"37","Blair Walsh","FA","K","15.0","1","15.0"
"37","David Wilson","FA","RB","15.0","1","15.0"
"38","Frank Gore","BUF","RB","14.9","1","14.9"
"39","Vick Ballard","FA","RB","14.7","1","14.7"
"39","Jordy Nelson","FA","WR","14.7","1","14.7"
"40","Matt Ryan","ATL","QB","14.6","1","14.6"
"41","Andre Johnson","FA","WR","14.1","1","14.1"
"42","Olindo Mare","FA","K","14.0","1","14.0"
"42","Darren Sproles","PHI","RB","14.0","1","14.0"
"42","Graham Gano","CAR","K","14.0","1","14.0"
"43","Philip Rivers","LAC","QB","13.7","1","13.7"
"44","Mason Crosby","GB","K","13.0","1","13.0"
"44","Ryan Fitzpatrick","MIA","QB","13.0","1","13.0"
"45","Sam Bradford","FA","QB","12.7","1","12.7"
"45","Tony Romo","FA","QB","12.7","1","12.7"
"46","Lance Ball","FA","RB","12.6","1","12.6"
"47","Chris Johnson","FA","RB","12.5","1","12.5"
"47","Mike Williams","FA","WR","12.5","1","12.5"
"48","Michael Vick","FA","QB","12.4","1","12.4"
"49","James Jones","FA","WR","12.2","1","12.2"
"50","Lance Moore","FA","WR","12.1","1","12.1"
"51","Josh Brown","FA","K","12.0","1","12.0"
"51","Connor Barth","FA","K","12.0","1","12.0"
"51","Washington Redskins","WAS","DST","12.0","1","12.0"
"52","Brian Hoyer","IND","QB","11.6","1","11.6"
"52","Jason Witten","DAL","TE","11.6","1","11.6"
"53","Keith Toston","FA","RB","11.5","1","11.5"
"54","Marshawn Lynch","FA","RB","11.4","1","11.4"
"54","Knowshon Moreno","FA","RB","11.4","1","11.4"
"55","Cam Newton","CAR","QB","11.3","1","11.3"
"56","Victor Cruz","FA","WR","11.2","1","11.2"
