"Rank","Player","Team","Position","Points","Games","Avg"
"1","Reggie Bush","FA","RB","31.7","1","31.7"
"2","Robert Griffin","BAL","QB","30.4","1","30.4"
"3","C.J. Spiller","FA","RB","29.0","1","29.0"
"4","Trent Richardson","FA","RB","26.5","1","26.5"
"5","Eli Manning","NYG","QB","26.2","1","26.2"
"6","Hakeem Nicks","FA","WR","25.9","1","25.9"
"7","Cam Newton","CAR","QB","25.2","1","25.2"
"8","Willis McGahee","FA","RB","24.4","1","24.4"
"9","Victor Cruz","FA","WR","23.9","1","23.9"
"10","Sam Bradford","FA","QB","23.4","1","23.4"
"11","Andy Dalton","CIN","QB","23.1","1","23.1"
"12","Dante Rosario","FA","TE","22.8","1","22.8"
"13","Philip Rivers","LAC","QB","22.3","1","22.3"
"14","Michael Vick","FA","QB","22.2","1","22.2"
"14","Dwayne Bowe","FA","WR","22.2","1","22.2"
"15","Ben Tate","FA","RB","21.7","1","21.7"
"16","Brandon Weeden","FA","QB","21.5","1","21.5"
"17","Buffalo Bills","BUF","DST","21.0","1","21.0"
"18","Arian Foster","FA","RB","20.7","1","20.7"
"19","Danny Amendola","DET","WR","20.0","1","20.0"
"20","Ryan Tannehill","TEN","QB","19.4","1","19.4"
"21","Vernon Davis","WAS","TE","19.3","1","19.3"
"22","Andrew Luck","FA","QB","19.1","1","19.1"
"23","Green Bay Packers","GB","DST","19.0","1","19.0"
"23","Drew Brees","NO","QB","19.0","1","19.0"
"23","Ben Roethlisberger","PIT","QB","19.0","1","19.0"
"24","Jackie Battle","FA","RB","18.9","1","18.9"
"25","Vincent Jackson","FA","WR","18.8","1","18.8"
"26","Matt Ryan","ATL","QB","18.7","1","18.7"
"27","Matt Cassel","FA","QB","18.5","1","18.5"
"27","Ryan Fitzpatrick","MIA","QB","18.5","1","18.5"
"28","Marshawn Lynch","FA","RB","18.2","1","18.2"
"29","Alex Smith","WAS","QB","17.7","1","17.7"
"30","Carson Palmer","FA","QB","17.6","1","17.6"
"31","Andre Brown","FA","RB","17.0","1","17.0"
"32","Christian Ponder","FA","QB","16.5","1","16.5"
"32","Frank Gore","BUF","RB","16.5","1","16.5"
"33","Roddy White","FA","WR","16.2","1","16.2"
"34","Justin Tucker","BAL","K","16.0","1","16.0"
"34","Stephen Gostkowski","NE","K","16.0","1","16.0"
"34","Seattle Seahawks","SEA","DST","16.0","1","16.0"
"35","Brent Celek","FA","TE","15.7","1","15.7"
"36","Kevin Kolb","FA","QB","15.6","1","15.6"
"37","Ray Rice","FA","RB","15.2","1","15.2"
"38","Jason Hanson","FA","K","15.0","1","15.0"
"38","Lawrence Tynes","FA","K","15.0","1","15.0"
"39","Tom Brady","NE","QB","14.5","1","14.5"
"40","Pierre Thomas","FA","RB","14.3","1","14.3"
"41","Mason Crosby","GB","K","14.0","1","14.0"
"41","Washington Redskins","WAS","DST","14.0","1","14.0"
"41","Adam Vinatieri","IND","K","14.0","1","14.0"
"42","Demaryius Thomas","NE","WR","13.8","1","13.8"
"43","Josh Freeman","FA","QB","13.7","1","13.7"
"43","Mike Goodson","FA","RB","13.7","1","13.7"
"44","Rob Gronkowski","FA","TE","13.5","1","13.5"
"45","Mike Wallace","FA","WR","13.4","1","13.4"
"46","Martellus Bennett","FA","TE","13.2","1","13.2"
"47","Brandon Tate","FA","WR","13.1","1","13.1"
"47","Reggie Wayne","FA","WR","13.1","1","13.1"
"47","Jimmy Graham","GB","TE","13.1","1","13.1"
"48","Tony Gonzalez","FA","TE","13.0","1","13.0"
"48","Connor Barth","FA","K","13.0","1","13.0"
"49","LeSean McCoy","KC","RB","12.9","1","12.9"
"49","DeAngelo Williams","FA","RB","12.9","1","12.9"
"50","Jonathan Stewart","FA","RB","12.8","1","12.8"
"50","Darren Sproles","PHI","RB","12.8","1","12.8"
"50","Leonard Hankerson","FA","WR","12.8","1","12.8"
"50","Russell Wilson","SEA","QB","12.8","1","12.8"
"51","Maurice Jones-Drew","FA","RB","12.7","1","12.7"
"52","Doug Martin","FA","RB","12.6","1","12.6"
"53","Lamar Miller","HOU","RB","12.5","1","12.5"
"54","Miles Austin","FA","WR","12.3","1","12.3"
"55","Matthew Stafford","DET","QB","12.2","1","12.2"
"56","Greg Zuerlein","LAR","K","12.0","1","12.0"
"57","Mike Williams","FA","WR","11.9","1","11.9"
"57","Tony Romo","FA","QB","11.9","1","11.9"
"58","Donnie Avery","FA","WR","11.8","1","11.8"
"58","A.J. Green","CIN","WR","11.8","1","11.8"
"59","Percy Harvin","FA","WR","11.7","1","11.7"
"59","Greg Little","FA","WR","11.7","1","11.7"
"60","Cedric Benson","FA","RB","11.6","1","11.6"
"60","Andrew Hawkins","FA","WR","11.6","1","11.6"
"60","Stevie Johnson","FA","WR","11.6","1","11.6"
"61","Brandon LaFell","FA","WR","11.5","1","11.5"
"62","DeSean Jackson","PHI","WR","11.4","1","11.4"
"63","Scott Chandler","FA","TE","11.3","1","11.3"
"63","Brandon Gibson","FA","WR","11.3","1","11.3"
"63","Mark Ingram","BAL","RB","11.3","1","11.3"
"64","Brian Hartline","FA","WR","11.1","1","11.1"
"64","Jake Locker","FA","QB","11.1","1","11.1"
"65","Garrett Hartley","FA","K","11.0","1","11.0"
"65","Carolina Panthers","CAR","DST","11.0","1","11.0"
"65","Atlanta Falcons","ATL","DST","11.0","1","11.0"
"65","Arizona Cardinals","ARI","DST","11.0","1","11.0"
"65","Phil Dawson","FA","K","11.0","1","11.0"
"65","Shaun Suisham","FA","K","11.0","1","11.0"
"66","Malcom Floyd","FA","WR","10.9","1","10.9"
"67","BenJarvus Green-Ellis","FA","RB","10.5","1","10.5"
"68","Steve Smith","FA","WR","10.4","1","10.4"
"69","Aaron Rodgers","GB","QB","10.2","1","10.2"
"69","Michael Turner","FA","RB","10.2","1","10.2"
"69","Daryl Richardson","FA","RB","10.2","1","10.2"
"70","Anthony McCoy","FA","TE","10.1","1","10.1"
"71","Cincinnati Bengals","CIN","DST","10.0","1","10.0"
"71","Mike Nugent","FA","K","10.0","1","10.0"
"71","Baltimore Ravens","BAL","DST","10.0","1","10.0"
"71","Blair Walsh","FA","K","10.0","1","10.0"
"71","Matt Bryant","ATL","K","10.0","1","10.0"
"71","David Akers","FA","K","10.0","1","10.0"
"71","Indianapolis Colts","IND","DST","10.0","1","10.0"
"72","Isaac Redman","FA","RB","9.9","1","9.9"
"73","Mark Sanchez","FA","QB","9.5","1","9.5"
"73","Kyle Rudolph","MIN","TE","9.5","1","9.5"
"73","Wes Welker","FA","WR","9.5","1","9.5"
"73","Stevan Ridley","FA","RB","9.5","1","9.5"
"74","Calvin Johnson","FA","WR","9.4","1","9.4"
"75","Joe Flacco","DEN","QB","9.3","1","9.3"
"76","Shayne Graham","FA","K","9.0","1","9.0"
"76","Mohamed Massaquoi","FA","WR","9.0","1","9.0"
"76","Chicago Bears","CHI","DST","9.0","1","9.0"
"76","Steven Hauschka","BUF","K","9.0","1","9.0"
"76","Jay Feely","FA","K","9.0","1","9.0"
"76","New England Patriots","NE","DST","9.0","1","9.0"
"76","Houston Texans","HOU","DST","9.0","1","9.0"
"77","Alfred Morris","DAL","RB","8.9","1","8.9"
"78","Antonio Brown","OAK","WR","8.8","1","8.8"
"78","Santonio Holmes","FA","WR","8.8","1","8.8"
"79","Tom Crabtree","FA","TE","8.7","1","8.7"
"80","Brandon Myers","FA","TE","8.6","1","8.6"
"80","Donald Driver","FA","WR","8.6","1","8.6"
"80","Mike Tolbert","FA","RB","8.6","1","8.6"
"81","Kendall Wright","FA","WR","8.4","1","8.4"
"81","Jordy Nelson","FA","WR","8.4","1","8.4"
"82","Jeremy Maclin","FA","WR","8.3","1","8.3"
"83","Jacoby Jones","FA","WR","8.1","1","8.1"
"83","Kellen Davis","FA","TE","8.1","1","8.1"
"84","Cleveland Browns","CLE","DST","8.0","1","8.0"
"84","Tampa Bay Buccaneers","TB","DST","8.0","1","8.0"
"84","Nate Kaeding","FA","K","8.0","1","8.0"
"84","San Francisco 49ers","SF","DST","8.0","1","8.0"
