"Rank","Player","Team","Position","Points","Games","Avg"
"1","Tom Brady","NE","QB","32.0","1","32.0"
"2","Brian Hartline","FA","WR","31.3","1","31.3"
"3","Cam Newton","CAR","QB","31.2","1","31.2"
"4","Drew Brees","NO","QB","29.8","1","29.8"
"5","Roddy White","FA","WR","28.9","1","28.9"
"6","Aaron Rodgers","GB","QB","28.1","1","28.1"
"7","San Francisco 49ers","SF","DST","28.0","1","28.0"
"8","Chicago Bears","CHI","DST","27.0","1","27.0"
"9","Houston Texans","HOU","DST","26.0","1","26.0"
"10","Peyton Manning","FA","QB","25.4","1","25.4"
"11","Matt Ryan","ATL","QB","24.8","1","24.8"
"12","Los Angeles Chargers","LAC","DST","24.0","1","24.0"
"13","Andre Roberts","BUF","WR","23.8","1","23.8"
"14","Ryan Fitzpatrick","MIA","QB","23.4","1","23.4"
"15","Robert Griffin","BAL","QB","23.2","1","23.2"
"16","Michael Turner","FA","RB","23.1","1","23.1"
"17","Minnesota Vikings","MIN","DST","23.0","1","23.0"
"18","Joe Flacco","DEN","QB","22.6","1","22.6"
"18","Stevan Ridley","FA","RB","22.6","1","22.6"
"19","Andy Dalton","CIN","QB","22.3","1","22.3"
"20","Marshawn Lynch","FA","RB","21.5","1","21.5"
"21","Marques Colston","FA","WR","21.3","1","21.3"
"22","Kevin Kolb","FA","QB","21.0","1","21.0"
"23","Brandon Bolden","NE","RB","20.8","1","20.8"
"24","Matthew Stafford","DET","QB","20.2","1","20.2"
"25","Jackie Battle","FA","RB","20.1","1","20.1"
"26","Brandon Marshall","FA","WR","19.8","1","19.8"
"27","Jamaal Charles","FA","RB","19.5","1","19.5"
"27","Willis McGahee","FA","RB","19.5","1","19.5"
"28","Michael Vick","FA","QB","18.5","1","18.5"
"29","Eli Manning","NYG","QB","18.4","1","18.4"
"30","Scott Chandler","FA","TE","18.2","1","18.2"
"31","Greg Zuerlein","LAR","K","18.0","1","18.0"
"32","A.J. Green","CIN","WR","17.7","1","17.7"
"33","James Jones","FA","WR","17.6","1","17.6"
"34","Ryan Tannehill","TEN","QB","17.2","1","17.2"
"34","Jason Witten","DAL","TE","17.2","1","17.2"
"35","Jay Cutler","FA","QB","17.0","1","17.0"
"36","Alfred Morris","DAL","RB","16.9","1","16.9"
"36","Victor Cruz","FA","WR","16.9","1","16.9"
"37","Dwayne Bowe","FA","WR","16.8","1","16.8"
"38","Trent Richardson","FA","RB","16.4","1","16.4"
"39","Phil Dawson","FA","K","16.0","1","16.0"
"39","Matt Prater","DET","K","16.0","1","16.0"
"39","Vincent Jackson","FA","WR","16.0","1","16.0"
"40","DeSean Jackson","PHI","WR","15.9","1","15.9"
"40","Matt Schaub","ATL","QB","15.9","1","15.9"
"41","Chris Johnson","FA","RB","15.7","1","15.7"
"41","Torrey Smith","FA","WR","15.7","1","15.7"
"42","Arian Foster","FA","RB","15.4","1","15.4"
"43","Jordy Nelson","FA","WR","15.3","1","15.3"
"44","Baltimore Ravens","BAL","DST","15.0","1","15.0"
"44","Donald Jones","FA","WR","15.0","1","15.0"
"44","Nick Novak","FA","K","15.0","1","15.0"
"44","New England Patriots","NE","DST","15.0","1","15.0"
"44","Connor Barth","FA","K","15.0","1","15.0"
"45","Greg Olsen","CAR","TE","14.9","1","14.9"
"46","Josh Freeman","FA","QB","14.8","1","14.8"
"47","Philip Rivers","LAC","QB","14.4","1","14.4"
"47","Rob Gronkowski","FA","TE","14.4","1","14.4"
"48","LeSean McCoy","KC","RB","14.0","1","14.0"
"48","Cincinnati Bengals","CIN","DST","14.0","1","14.0"
"48","Matt Bryant","ATL","K","14.0","1","14.0"
"48","Alex Henery","FA","K","14.0","1","14.0"
"48","Joseph Morgan","FA","WR","14.0","1","14.0"
"49","Eric Decker","FA","WR","13.9","1","13.9"
"50","Frank Gore","BUF","RB","13.5","1","13.5"
"51","Owen Daniels","FA","TE","13.2","1","13.2"
"52","Anquan Boldin","FA","WR","13.1","1","13.1"
"53","Dez Bryant","FA","WR","12.5","1","12.5"
"54","Larry Fitzgerald","ARI","WR","12.4","1","12.4"
"54","Darren Sproles","PHI","RB","12.4","1","12.4"
"55","Davone Bess","FA","WR","12.3","1","12.3"
"56","Adrian Peterson","WAS","RB","12.2","1","12.2"
"57","Danny Amendola","DET","WR","12.1","1","12.1"
