"Rank","Player","Team","Position","Points","Games","Avg"
"1","Aaron Rodgers","GB","QB","39.2","1","39.2"
"2","Robert Griffin","BAL","QB","35.1","1","35.1"
"3","Shonn Greene","FA","RB","34.1","1","34.1"
"4","Jordy Nelson","FA","WR","30.1","1","30.1"
"5","Denver Broncos","DEN","DST","28.0","1","28.0"
"6","A.J. Green","CIN","WR","25.5","1","25.5"
"7","Sam Bradford","FA","QB","24.0","1","24.0"
"8","Josh Freeman","FA","QB","23.6","1","23.6"
"9","Russell Wilson","SEA","QB","23.4","1","23.4"
"10","Ray Rice","FA","RB","22.6","1","22.6"
"11","Michael Vick","FA","QB","22.3","1","22.3"
"12","Peyton Manning","FA","QB","22.2","1","22.2"
"13","Dez Bryant","FA","WR","21.5","1","21.5"
"14","Matthew Stafford","DET","QB","21.1","1","21.1"
"15","Antonio Gates","FA","TE","20.1","1","20.1"
"16","Tom Brady","NE","QB","19.8","1","19.8"
"16","Wes Welker","FA","WR","19.8","1","19.8"
"17","Andy Dalton","CIN","QB","19.7","1","19.7"
"18","Christian Ponder","FA","QB","19.4","1","19.4"
"19","New York Giants","NYG","DST","19.0","1","19.0"
"19","Jeremy Maclin","FA","WR","19.0","1","19.0"
"19","Atlanta Falcons","ATL","DST","19.0","1","19.0"
"20","Vincent Jackson","FA","WR","18.6","1","18.6"
"21","Ahmad Bradshaw","FA","RB","18.0","1","18.0"
"22","Ben Roethlisberger","PIT","QB","17.9","1","17.9"
"23","Mike Williams","FA","WR","17.3","1","17.3"
"24","C.J. Spiller","FA","RB","17.0","1","17.0"
"25","Felix Jones","FA","RB","16.5","1","16.5"
"26","Tony Romo","FA","QB","16.4","1","16.4"
"26","Denarius Moore","FA","WR","16.4","1","16.4"
"27","Arian Foster","FA","RB","16.1","1","16.1"
"28","New York Jets","NYJ","DST","16.0","1","16.0"
"28","Cleveland Browns","CLE","DST","16.0","1","16.0"
"28","Washington Redskins","WAS","DST","16.0","1","16.0"
"28","Jason Hanson","FA","K","16.0","1","16.0"
"28","Rob Bironas","FA","K","16.0","1","16.0"
"29","Josh Gordon","NE","WR","15.9","1","15.9"
"30","Eric Decker","FA","WR","15.8","1","15.8"
"31","Brandon Weeden","FA","QB","15.5","1","15.5"
"32","Mike Wallace","FA","WR","15.4","1","15.4"
"33","Larry Fitzgerald","ARI","WR","15.3","1","15.3"
"33","James Jones","FA","WR","15.3","1","15.3"
"33","Ryan Tannehill","TEN","QB","15.3","1","15.3"
"34","Buffalo Bills","BUF","DST","15.0","1","15.0"
"35","Sidney Rice","FA","WR","14.1","1","14.1"
"35","Carson Palmer","FA","QB","14.1","1","14.1"
"36","Tampa Bay Buccaneers","TB","DST","14.0","1","14.0"
"37","Darren McFadden","FA","RB","13.8","1","13.8"
"37","Matt Hasselbeck","FA","QB","13.8","1","13.8"
"38","Kevin Kolb","FA","QB","13.7","1","13.7"
"39","Kyle Rudolph","MIN","TE","13.6","1","13.6"
"39","Joe Flacco","DEN","QB","13.6","1","13.6"
"40","Calvin Johnson","FA","WR","13.5","1","13.5"
"41","Percy Harvin","FA","WR","13.4","1","13.4"
"41","Doug Baldwin","FA","WR","13.4","1","13.4"
"42","Roddy White","FA","WR","13.2","1","13.2"
"43","Doug Martin","FA","RB","13.1","1","13.1"
"44","Lawrence Tynes","FA","K","13.0","1","13.0"
"44","Matt Bryant","ATL","K","13.0","1","13.0"
"44","Jay Feely","FA","K","13.0","1","13.0"
"45","Adrian Peterson","WAS","RB","12.9","1","12.9"
"46","Jermaine Gresham","FA","TE","12.8","1","12.8"
"47","Michael Jenkins","FA","WR","12.7","1","12.7"
"48","Montario Hardesty","FA","RB","12.5","1","12.5"
"49","Fred Jackson","FA","RB","12.3","1","12.3"
"50","Tom Crabtree","FA","TE","12.2","1","12.2"
"50","Kenny Britt","FA","WR","12.2","1","12.2"
"51","Shaun Suisham","FA","K","12.0","1","12.0"
"51","Blair Walsh","FA","K","12.0","1","12.0"
"51","Alex Henery","FA","K","12.0","1","12.0"
"51","Adam Vinatieri","IND","K","12.0","1","12.0"
"51","Dan Bailey","MIN","K","12.0","1","12.0"
"52","Isaac Redman","FA","RB","11.9","1","11.9"
"53","LeGarrette Blount","FA","RB","11.8","1","11.8"
"53","Victor Cruz","FA","WR","11.8","1","11.8"
"54","Alfred Morris","DAL","RB","11.6","1","11.6"
