"Rank","Player","Team","Position","Points","Games","Avg"
"1","Marques Colston","FA","WR","31.1","1","31.1"
"2","Alex Smith","WAS","QB","29.0","1","29.0"
"3","Andrew Luck","FA","QB","28.9","1","28.9"
"4","Drew Brees","NO","QB","28.6","1","28.6"
"5","Chicago Bears","CHI","DST","28.0","1","28.0"
"6","Reggie Wayne","FA","WR","27.2","1","27.2"
"7","Ahmad Bradshaw","FA","RB","26.9","1","26.9"
"8","Aaron Rodgers","GB","QB","25.1","1","25.1"
"9","Peyton Manning","FA","QB","24.4","1","24.4"
"10","Percy Harvin","FA","WR","23.6","1","23.6"
"11","Victor Cruz","FA","WR","23.0","1","23.0"
"12","Arian Foster","FA","RB","22.8","1","22.8"
"13","Brandon Marshall","FA","WR","20.4","1","20.4"
"14","Eli Manning","NYG","QB","20.3","1","20.3"
"15","Josh Gordon","NE","WR","20.2","1","20.2"
"16","Carolina Panthers","CAR","DST","20.0","1","20.0"
"17","Jay Cutler","FA","QB","19.9","1","19.9"
"17","Ryan Mathews","FA","RB","19.9","1","19.9"
"18","Stevan Ridley","FA","RB","19.1","1","19.1"
"19","Trent Richardson","FA","RB","18.8","1","18.8"
"20","Tom Brady","NE","QB","18.7","1","18.7"
"20","Robert Meachem","FA","WR","18.7","1","18.7"
"21","Tony Gonzalez","FA","TE","18.3","1","18.3"
"21","Devery Henderson","FA","WR","18.3","1","18.3"
"22","Matt Ryan","ATL","QB","18.2","1","18.2"
"22","Philip Rivers","LAC","QB","18.2","1","18.2"
"23","Los Angeles Rams","LAR","DST","18.0","1","18.0"
"24","Christian Ponder","FA","QB","17.4","1","17.4"
"25","Michael Crabtree","ARI","WR","17.3","1","17.3"
"26","Frank Gore","BUF","RB","16.6","1","16.6"
"26","James Jones","FA","WR","16.6","1","16.6"
"27","Wes Welker","FA","WR","16.4","1","16.4"
"28","Jamaal Charles","FA","RB","16.1","1","16.1"
"28","Rashard Mendenhall","FA","RB","16.1","1","16.1"
"29","Demaryius Thomas","NE","WR","16.0","1","16.0"
"30","Brandon Weeden","FA","QB","15.8","1","15.8"
"31","Julio Jones","ATL","WR","15.5","1","15.5"
"32","Baltimore Ravens","BAL","DST","15.0","1","15.0"
"33","Randall Cobb","DAL","WR","14.2","1","14.2"
"33","Ben Roethlisberger","PIT","QB","14.2","1","14.2"
"34","LeSean McCoy","KC","RB","14.0","1","14.0"
"34","Santana Moss","FA","WR","14.0","1","14.0"
"35","Owen Daniels","FA","TE","13.9","1","13.9"
"36","Alfred Morris","DAL","RB","13.5","1","13.5"
"37","Reggie Bush","FA","RB","13.2","1","13.2"
"38","Blair Walsh","FA","K","13.0","1","13.0"
"38","Miami Dolphins","MIA","DST","13.0","1","13.0"
"39","Michael Turner","FA","RB","12.9","1","12.9"
"40","Matt Forte","FA","RB","12.7","1","12.7"
"41","Michael Vick","FA","QB","12.6","1","12.6"
