"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Freeman","FA","QB","52.1","2","26.1"
"2","Doug Martin","FA","RB","51.6","2","25.8"
"3","Tom Brady","NE","QB","46.9","2","23.5"
"4","Rob Gronkowski","FA","TE","46.4","2","23.2"
"5","Matthew Stafford","DET","QB","46.0","2","23.0"
"6","Drew Brees","NO","QB","43.9","2","22.0"
"7","Chris Johnson","FA","RB","43.5","2","21.8"
"8","Aaron Rodgers","GB","QB","39.5","2","19.8"
"9","Adrian Peterson","WAS","RB","38.6","2","19.3"
"10","Andrew Luck","FA","QB","35.3","2","17.7"
"11","Robert Griffin","BAL","QB","35.1","2","17.6"
"12","Ben Roethlisberger","PIT","QB","34.5","2","17.3"
"13","Tony Romo","FA","QB","33.7","2","16.9"
"14","Carson Palmer","FA","QB","33.6","2","16.8"
"15","New York Giants","NYG","DST","33.0","2","16.5"
"16","Vincent Jackson","FA","WR","31.6","2","15.8"
"16","Randall Cobb","DAL","WR","31.6","2","15.8"
"17","Alex Smith","WAS","QB","30.6","2","15.3"
"18","Titus Young","FA","WR","30.1","2","15.1"
"19","Cam Newton","CAR","QB","28.6","2","14.3"
"20","Marshawn Lynch","FA","RB","28.2","2","14.1"
"21","Sebastian Janikowski","FA","K","28.0","2","14.0"
"21","Lawrence Tynes","FA","K","28.0","2","14.0"
"22","Miles Austin","FA","WR","27.0","2","13.5"
"22","Chicago Bears","CHI","DST","27.0","2","13.5"
"23","Matt Hasselbeck","FA","QB","26.4","2","13.2"
"24","New England Patriots","NE","DST","26.0","2","13.0"
"25","Rashad Jennings","FA","RB","25.7","2","12.9"
"26","Percy Harvin","FA","WR","25.6","2","12.8"
"27","Shonn Greene","FA","RB","25.4","2","12.7"
"27","Matt Forte","FA","RB","25.4","2","12.7"
"28","Denarius Moore","FA","WR","25.2","2","12.6"
"28","Stevan Ridley","FA","RB","25.2","2","12.6"
"29","Mark Sanchez","FA","QB","25.0","2","12.5"
"30","Frank Gore","BUF","RB","24.8","2","12.4"
"30","Santana Moss","FA","WR","24.8","2","12.4"
"31","LaRod Stephens-Howling","FA","RB","24.7","2","12.4"
"32","Brandon Weeden","FA","QB","24.6","2","12.3"
"32","Peyton Manning","FA","QB","24.6","1","24.6"
"33","Blaine Gabbert","TB","QB","24.5","2","12.3"
"34","Matt Ryan","ATL","QB","24.3","1","24.3"
"35","San Francisco 49ers","SF","DST","24.0","2","12.0"
"35","Josh Scobee","FA","K","24.0","2","12.0"
"35","Green Bay Packers","GB","DST","24.0","2","12.0"
"36","Brandon Marshall","FA","WR","23.9","2","12.0"
"36","Heath Miller","FA","TE","23.9","2","12.0"
"37","Jonathan Dwyer","FA","RB","23.7","2","11.9"
"38","Cecil Shorts","FA","WR","23.5","2","11.8"
"39","Darren Sproles","PHI","RB","23.4","2","11.7"
"39","Vick Ballard","FA","RB","23.4","2","11.7"
"40","Michael Crabtree","ARI","WR","23.1","2","11.6"
"41","Shaun Suisham","FA","K","23.0","2","11.5"
"42","Andre Roberts","BUF","WR","22.8","2","11.4"
"43","Sam Bradford","FA","QB","22.7","2","11.4"
"44","Arian Foster","FA","RB","22.3","1","22.3"
"45","Dustin Keller","FA","TE","22.0","2","11.0"
"45","Dan Bailey","MIN","K","22.0","2","11.0"
"46","Darren McFadden","FA","RB","21.8","2","10.9"
"47","Victor Cruz","FA","WR","21.4","2","10.7"
"48","Trent Richardson","FA","RB","21.3","2","10.7"
"49","Jason Witten","DAL","TE","21.1","2","10.6"
"50","Chris Givens","FA","WR","21.0","2","10.5"
"50","Miami Dolphins","MIA","DST","21.0","1","21.0"
"51","Ryan Broyles","FA","WR","20.8","2","10.4"
"52","John Skelton","FA","QB","20.2","2","10.1"
"52","Russell Wilson","SEA","QB","20.2","2","10.1"
"53","Steve Smith","FA","WR","20.1","2","10.1"
"53","Brandon LaFell","FA","WR","20.1","2","10.1"
"54","Stephen Gostkowski","NE","K","20.0","2","10.0"
"54","Houston Texans","HOU","DST","20.0","1","20.0"
"54","Justin Medlock","FA","K","20.0","2","10.0"
"54","Oakland Raiders","OAK","DST","20.0","2","10.0"
"54","Kai Forbath","FA","K","20.0","2","10.0"
"54","Nick Folk","FA","K","20.0","2","10.0"
"55","Eli Manning","NYG","QB","19.9","2","10.0"
"56","Demaryius Thomas","NE","WR","19.7","1","19.7"
"57","Marques Colston","FA","WR","19.6","2","9.8"
"58","Willis McGahee","FA","RB","19.5","1","19.5"
"59","Ryan Fitzpatrick","MIA","QB","19.3","1","19.3"
"60","Julio Jones","ATL","WR","19.2","1","19.2"
"60","Jay Cutler","FA","QB","19.2","2","9.6"
"61","Cleveland Browns","CLE","DST","19.0","2","9.5"
"62","LeSean McCoy","KC","RB","18.7","1","18.7"
"63","Ahmad Bradshaw","FA","RB","18.3","2","9.2"
"64","Jordy Nelson","FA","WR","18.2","1","18.2"
"65","Minnesota Vikings","MIN","DST","18.0","2","9.0"
"65","Carolina Panthers","CAR","DST","18.0","2","9.0"
"65","Mason Crosby","GB","K","18.0","2","9.0"
"65","Fred Jackson","FA","RB","18.0","1","18.0"
"65","Matt Schaub","ATL","QB","18.0","1","18.0"
"66","Darrius Heyward-Bey","FA","WR","17.7","2","8.9"
"67","Andre Brown","FA","RB","17.5","2","8.8"
"68","Nate Washington","FA","WR","17.2","2","8.6"
"69","Alfred Morris","DAL","RB","16.9","2","8.5"
"70","Jeremy Kerley","FA","WR","16.5","2","8.3"
"70","Josh Gordon","NE","WR","16.5","2","8.3"
"71","Mike Williams","FA","WR","16.4","2","8.2"
"72","Reggie Wayne","FA","WR","16.4","2","8.2"
"73","Eric Decker","FA","WR","16.3","1","16.3"
"74","Steven Jackson","FA","RB","16.2","2","8.1"
"75","Connor Barth","FA","K","16.0","2","8.0"
"76","Shane Vereen","FA","RB","15.8","2","7.9"
"76","Michael Vick","FA","QB","15.8","1","15.8"
"77","Christian Ponder","FA","QB","15.7","2","7.9"
